NO,방송사,제목,방영일,요일,회차,시청률,종합 순위,장르,장르별 순위,방송시작시간,방송종료시간,방송시간,,,
1 ,채널A,성적을 부탁해 티처스2,2024.9.1,일,24 ,1.339%,14 ,예능,6 ,19:50,21:00,1:10,,,
2 ,채널A,성적을 부탁해 티처스2,2024.8.25,일,23 ,1.048%,26 ,예능,10 ,19:50,21:00,1:10,,,
3 ,채널A,성적을 부탁해 티처스2,2024.8.18,일,22 ,0.994%,27 ,예능,11 ,19:50,21:00,1:10,,,
4 ,채널A,성적을 부탁해 티처스2,2024.8.11,일,21 ,1.081%,26 ,예능,7 ,19:50,21:00,1:10,,,
5 ,채널A,성적을 부탁해 티처스2,2024.8.4,일,20 ,1.223%,23 ,예능,9 ,19:50,21:00,1:10,,,
6 ,채널A,성적을 부탁해 티처스2,2024.7.28,일,19 ,1.443%,13 ,예능,5 ,19:50,21:00,1:10,,,
7 ,채널A,성적을 부탁해 티처스2,2024.7.21,일,18 ,0.825%,32 ,예능,14 ,19:50,21:00,1:10,,,
8 ,채널A,성적을 부탁해 티처스2,2024.7.14,일,17 ,1.008%,27 ,예능,11 ,19:50,21:00,1:10,,,
9 ,채널A,성적을 부탁해 티처스2,2024.7.7,일,16 ,1.123%,25 ,예능,10 ,19:50,21:00,1:10,,,
10 ,채널A,성적을 부탁해 티처스2,2024.6.30,일,15 ,1.056%,27 ,예능,13 ,19:50,21:00,1:10,,,
11 ,채널A,절친 토큐멘터리 4인용식탁,2024.8.26,월,51 ,1.777%,17 ,기타,8 ,20:10,21:10,1:00,,,
12 ,채널A,절친 토큐멘터리 4인용식탁,2024.8.19,월,50 ,1.689%,15 ,기타,6 ,20:10,21:10,1:00,,,
13 ,채널A,절친 토큐멘터리 4인용식탁,2024.8.12,월,49 ,1.925%,16 ,기타,7 ,20:10,21:10,1:00,,,
14 ,채널A,절친 토큐멘터리 4인용식탁,2024.8.5,월,48 ,1.399%,22 ,기타,10 ,20:10,21:10,1:00,,,
15 ,채널A,절친 토큐멘터리 4인용식탁,2024.7.29,월,47 ,2.093%,11 ,기타,4 ,20:10,21:10,1:00,,,
16 ,채널A,절친 토큐멘터리 4인용식탁,2024.7.22,월,46 ,1.010%,30 ,기타,12 ,20:10,21:10,1:00,,,
17 ,채널A,절친 토큐멘터리 4인용식탁,2024.7.15,월,45 ,1.383%,22 ,기타,9 ,20:10,21:10,1:00,,,
18 ,채널A,절친 토큐멘터리 4인용식탁,2024.7.8,월,44 ,1.575%,22 ,기타,9 ,20:10,21:10,1:00,,,
19 ,채널A,절친 토큐멘터리 4인용식탁,2024.7.1,월,43 ,1.221%,24 ,기타,9 ,20:10,21:10,1:00,,,
20 ,채널A,절친 토큐멘터리 4인용식탁,2024.6.24,월,42 ,1.644%,20 ,기타,9 ,20:10,21:10,1:00,,,
21 ,채널A,절친 토큐멘터리 4인용식탁,2024.6.17,월,41 ,1.876%,16 ,기타,8 ,20:10,21:10,1:00,,,
22 ,채널A,절친 토큐멘터리 4인용식탁,2024.6.10,월,40 ,1.529%,20 ,기타,8 ,20:10,21:10,1:00,,,
23 ,채널A,절친 토큐멘터리 4인용식탁,2024.6.3,월,39 ,1.434%,22 ,기타,9 ,20:10,21:10,1:00,,,
24 ,채널A,탐정들의 영업비밀,2024.8.26,월,23 ,2.017%,11 ,예능,6 ,21:30,23:00,1:30,,,
